x,y
3.5830,-2.4150
3.5830,-2.4100
3.5830,-2.4050
3.5830,-2.4000
3.5830,-2.3950
3.5830,-2.3900
3.5830,-2.3850
3.5830,-2.3800
3.5780,-2.3750
3.5780,-2.3700
3.5780,-2.3650
3.5780,-2.3600
3.5780,-2.3550
3.5780,-2.3500
3.5780,-2.3450
3.5780,-2.3400
3.5780,-2.3350
3.5780,-2.3300
3.5780,-2.3250
3.5780,-2.3200
3.5780,-2.3150
3.5780,-2.3100
3.5780,-2.3050
3.5780,-2.3000
3.5780,-2.2950
3.5780,-2.2900
3.5780,-2.2850
3.5780,-2.2800
3.5780,-2.2750
3.5780,-2.2700
3.5780,-2.2650
3.5780,-2.2600
3.5780,-2.2550
3.5780,-2.2500
3.5780,-2.2450
3.5780,-2.2400
3.5780,-2.2350
3.5780,-2.2300
3.5780,-2.2250
3.5780,-2.2200
3.5780,-2.2150
3.5780,-2.2100
3.5780,-2.2050
3.5780,-2.2000
3.5780,-2.1950
3.5780,-2.1900
3.5780,-2.1850
3.5780,-2.1800
3.5780,-2.1750
3.5780,-2.1700
3.5780,-2.1650
3.5780,-2.1600
3.5780,-2.1550
3.5780,-2.1500
3.5780,-2.1450
3.5780,-2.1400
3.5780,-2.1350
3.5780,-2.1300
3.5780,-2.1250
3.5780,-2.1200
3.5780,-2.1150
3.5780,-2.1100
3.5780,-2.1050
3.5780,-2.1000
3.5780,-2.0950
3.5780,-2.0900
3.5780,-2.0850
3.5780,-2.0800
3.5780,-2.0750
3.5780,-2.0700
3.5780,-2.0650
3.5780,-2.0600
3.5780,-2.0550
3.5780,-2.0500
3.5780,-2.0450
3.5780,-2.0400
3.5730,-2.0350
3.5730,-2.0300
3.5730,-2.0250
3.5730,-2.0200
3.5730,-2.0150
3.5730,-2.0100
3.5730,-2.0050
3.5680,-2.0000
3.5680,-1.9950
3.5680,-1.9900
3.5630,-1.9850
3.5630,-1.9800
3.5580,-1.9750
3.5580,-1.9700
3.5580,-1.9650
3.5530,-1.9600
3.5530,-1.9550
3.5530,-1.9500
3.5530,-1.9450
3.5480,-1.9400
3.5480,-1.9350
3.5480,-1.9300
3.5480,-1.9250
3.5480,-1.9200
3.5480,-1.9150
3.5480,-1.9100
3.5480,-1.9050
3.5480,-1.9000
3.5480,-1.8950
3.5430,-1.8900
3.5430,-1.8850
3.5430,-1.8800
3.5430,-1.8750
3.5430,-1.8700
3.5430,-1.8650
3.5430,-1.8600
3.5430,-1.8550
3.5380,-1.8500
3.5380,-1.8450
3.5380,-1.8400
3.5380,-1.8350
3.5380,-1.8300
3.5380,-1.8250
3.5380,-1.8200
3.5380,-1.8150
3.5330,-1.8100
3.5330,-1.8050
3.5330,-1.8000
3.5330,-1.7950
3.5330,-1.7900
3.5330,-1.7850
3.5330,-1.7800
3.5330,-1.7750
3.5330,-1.7700
3.5330,-1.7650
3.5330,-1.7600
3.5330,-1.7550
3.5330,-1.7500
3.5330,-1.7450
3.5330,-1.7400
3.5330,-1.7350

3.5330,-1.7300
3.5330,-1.7250
3.5330,-1.7200
3.5330,-1.7150
3.5280,-1.7100
3.5280,-1.7050
3.5280,-1.7000
3.5280,-1.6950
3.5280,-1.6900
3.5230,-1.6850
3.5230,-1.6800
3.5230,-1.6750
3.5230,-1.6700
3.5230,-1.6650
3.5230,-1.6600
3.5180,-1.6550
3.5180,-1.6500
3.5180,-1.6450
3.5180,-1.6400
3.5180,-1.6350
3.5180,-1.6300
3.5180,-1.6250
3.5130,-1.6200
3.5130,-1.6150
3.5130,-1.6100
3.5080,-1.6050
3.5080,-1.6000
3.5080,-1.5950
3.5080,-1.5900
3.5080,-1.5850
3.5080,-1.5800
3.5080,-1.5750
3.5080,-1.5700
3.5080,-1.5650
3.5080,-1.5600
3.5080,-1.5550
3.5080,-1.5500
3.5080,-1.5450
3.5080,-1.5400
3.5080,-1.5350
3.5080,-1.5300
3.5080,-1.5250
3.5080,-1.5200
3.5080,-1.5150
3.5080,-1.5100
3.5080,-1.5050
3.5080,-1.5000
3.5080,-1.4950
3.5080,-1.4900
3.5080,-1.4850
3.5080,-1.4800
3.5080,-1.4750
3.5030,-1.4700
3.5030,-1.4650
3.5030,-1.4600
3.5030,-1.4550
3.5030,-1.4500
3.5030,-1.4450
3.5030,-1.4400
3.5030,-1.4350
3.5030,-1.4300
3.5030,-1.4250
3.4980,-1.4200
3.4980,-1.4150
3.4980,-1.4100
3.4980,-1.4050
3.4980,-1.4000
3.4980,-1.3950
3.4980,-1.3900
3.4980,-1.3850
3.4980,-1.3800
3.4980,-1.3750
3.4980,-1.3700
3.4980,-1.3650
3.4980,-1.3600
3.4980,-1.3550
3.4980,-1.3500
3.4980,-1.3450
3.4980,-1.3400
3.4980,-1.3350
3.4980,-1.3300
3.4980,-1.3250
3.4980,-1.3200
3.4930,-1.3150
3.4930,-1.3100
3.4930,-1.3050
3.4930,-1.3000
3.4930,-1.2950
3.4930,-1.2900
3.4930,-1.2850
3.4880,-1.2800
3.4880,-1.2750
3.4880,-1.2700
3.4880,-1.2650
3.4830,-1.2600
3.4830,-1.2550
3.4830,-1.2500
3.4830,-1.2450
3.4780,-1.2400
3.4780,-1.2350
3.4780,-1.2300
3.4780,-1.2250
3.4780,-1.2200
3.4730,-1.2150
3.4730,-1.2100
3.4730,-1.2050
3.4730,-1.2000
3.4730,-1.1950
3.4730,-1.1900
3.4730,-1.1850
3.4730,-1.1800
3.4730,-1.1750
3.4680,-1.1700
3.4680,-1.1650
3.4680,-1.1600
3.4680,-1.1550
3.4680,-1.1500
3.4680,-1.1450
3.4680,-1.1400
3.4680,-1.1350
3.4630,-1.1300
3.4630,-1.1250
3.4630,-1.1200
3.4630,-1.1150
3.4630,-1.1100
3.4630,-1.1050
3.4630,-1.1000
3.4630,-1.0950
3.4630,-1.0900
3.4580,-1.0850
3.4580,-1.0800
3.4580,-1.0750
3.4580,-1.0700
3.4580,-1.0650
3.4580,-1.0600
3.4580,-1.0550
3.4580,-1.0500
3.4580,-1.0450
3.4530,-1.0400
3.4530,-1.0350
3.4530,-1.0300
3.4530,-1.0250
3.4530,-1.0200
3.4530,-1.0150
3.4530,-1.0100
3.4480,-1.0050
3.4480,-1.0000
3.4480,-0.9950
3.4480,-0.9900
3.4430,-0.9850
3.4430,-0.9800
3.4430,-0.9750
3.4430,-0.9700
3.4430,-0.9650
3.4430,-0.9600
3.4430,-0.9550
3.4430,-0.9500
3.4380,-0.9450
3.4380,-0.9400
3.4380,-0.9350
3.4380,-0.9300
3.4380,-0.9250
3.4380,-0.9200
3.4380,-0.9150
3.4380,-0.9100
3.4380,-0.9050
3.4380,-0.9000
3.4330,-0.8950
3.4330,-0.8900
3.4330,-0.8850
3.4330,-0.8800
3.4330,-0.8750
3.4280,-0.8700
3.4280,-0.8650
3.4280,-0.8600
3.4280,-0.8550
3.4280,-0.8500
3.4280,-0.8450
3.4280,-0.8400
3.4230,-0.8350
3.4230,-0.8300
3.4230,-0.8250
3.4230,-0.8200
3.4180,-0.8150
3.4180,-0.8100
3.4180,-0.8050
3.4180,-0.8000
3.4130,-0.7950
3.4130,-0.7900
3.4130,-0.7850
3.4130,-0.7800
3.4130,-0.7750
3.4130,-0.7700
3.4080,-0.7650
3.4080,-0.7600
3.4080,-0.7550
3.4080,-0.7500
3.4080,-0.7450
3.4080,-0.7400
3.4030,-0.7350
3.4030,-0.7300
3.4030,-0.7250
3.3980,-0.7200
3.3980,-0.7150
3.3980,-0.7100
3.3980,-0.7050
3.3980,-0.7000
3.3980,-0.6950
3.3980,-0.6900
3.3980,-0.6850
3.3980,-0.6800
3.3980,-0.6750
3.3980,-0.6700
3.3980,-0.6650
3.3980,-0.6600
3.3980,-0.6550
3.3980,-0.6500
3.3980,-0.6450
3.3980,-0.6400
3.3980,-0.6350
3.3980,-0.6300
3.3980,-0.6250
3.3980,-0.6200
3.3980,-0.6150
3.3980,-0.6100
3.3980,-0.6050
3.3980,-0.6000
3.3980,-0.5950
3.3980,-0.5900
3.3980,-0.5850
3.3930,-0.5800
3.3930,-0.5750
3.3930,-0.5700
3.3930,-0.5650
3.3930,-0.5600
3.3930,-0.5550
3.3930,-0.5500
3.3930,-0.5450
3.3930,-0.5400
3.3880,-0.5350
3.3880,-0.5300
3.3880,-0.5250
3.3880,-0.5200
3.3880,-0.5150
3.3880,-0.5100
3.3880,-0.5050
3.3880,-0.5000
3.3880,-0.4950
3.3880,-0.4900
3.3880,-0.4850
3.3880,-0.4800
3.3880,-0.4750
3.3880,-0.4700
3.3880,-0.4650
3.3880,-0.4600
3.3830,-0.4550
3.3830,-0.4500
3.3830,-0.4450
3.3830,-0.4400
3.3830,-0.4350
3.3830,-0.4300
3.3830,-0.4250
3.3830,-0.4200
3.3830,-0.4150
3.3780,-0.4100
3.3780,-0.4050
3.3780,-0.4000
3.3780,-0.3950
3.3780,-0.3900
3.3780,-0.3850
3.3730,-0.3800
3.3730,-0.3750
3.3730,-0.3700
3.3730,-0.3650
3.3730,-0.3600
3.3730,-0.3550
3.3730,-0.3500
3.3680,-0.3450
3.3680,-0.3400
3.3680,-0.3350
3.3680,-0.3300
3.3680,-0.3250
3.3680,-0.3200
3.3680,-0.3150
3.3680,-0.3100
3.3680,-0.3050
3.3680,-0.3000
3.3630,-0.2950
3.3630,-0.2900
3.3630,-0.2850
3.3630,-0.2800
