x,y
1.5180,-6.4940
1.5270,-6.4940
1.5360,-6.5030
1.5450,-6.5030
1.5540,-6.5030
1.5630,-6.5120
1.5720,-6.5120
1.5810,-6.5120
1.5900,-6.5120
1.5990,-6.5120
1.6080,-6.5210
1.6170,-6.5210
1.6260,-6.5210
1.6350,-6.5300
1.6440,-6.5300
1.6530,-6.5300
1.6620,-6.5300
1.6710,-6.5390
1.6800,-6.5390
1.6890,-6.5390
1.6980,-6.5390
1.7070,-6.5480
1.7160,-6.5480
1.7250,-6.5480
1.7340,-6.5570
1.7430,-6.5570
1.7520,-6.5570
1.7610,-6.5570
1.7700,-6.5660
1.7790,-6.5660
1.7880,-6.5660
1.7970,-6.5660
1.8060,-6.5660
1.8150,-6.5750
1.8240,-6.5750
1.8330,-6.5750
1.8420,-6.5840
1.8510,-6.5840
1.8600,-6.5840
1.8690,-6.5840
1.8780,-6.5840
1.8870,-6.5840
1.8960,-6.5840
1.9050,-6.5840
1.9140,-6.5840
1.9230,-6.5750
1.9320,-6.5750
1.9410,-6.5750
1.9500,-6.5750
1.9590,-6.5750
1.9680,-6.5660
1.9770,-6.5660
1.9860,-6.5660
1.9950,-6.5660
2.0040,-6.5660
2.0130,-6.5570
2.0220,-6.5570
2.0310,-6.5570
2.0400,-6.5480
2.0490,-6.5480
2.0580,-6.5480
2.0670,-6.5480
2.0760,-6.5390
2.0850,-6.5390
2.0940,-6.5390
2.1030,-6.5390
2.1120,-6.5390
2.1210,-6.5300
2.1300,-6.5300
2.1390,-6.5300
2.1480,-6.5300
2.1570,-6.5300
2.1660,-6.5300
2.1750,-6.5300
2.1840,-6.5300
2.1930,-6.5300
2.2020,-6.5300
2.2110,-6.5300
2.2200,-6.5210
2.2290,-6.5210
2.2380,-6.5210
2.2470,-6.5210
2.2560,-6.5210
2.2650,-6.5120
2.2740,-6.5120
2.2830,-6.5120
2.2920,-6.5120
2.3010,-6.5030
2.3100,-6.5030
2.3190,-6.5030
2.3280,-6.5030
2.3370,-6.5030
2.3460,-6.4940
2.3550,-6.4940
2.3640,-6.4940
2.3730,-6.4940
2.3820,-6.4940
2.3910,-6.4850
2.4000,-6.4850
2.4090,-6.4850
2.4180,-6.4850
2.4270,-6.4850
2.4360,-6.4760
2.4450,-6.4760
2.4540,-6.4670
2.4630,-6.4670
2.4720,-6.4580
2.4810,-6.4580
2.4900,-6.4490
2.4990,-6.4490
2.5080,-6.4400
2.5170,-6.4400
2.5260,-6.4310
2.5350,-6.4310
2.5440,-6.4310
2.5530,-6.4220
2.5620,-6.4220
2.5710,-6.4130
2.5800,-6.4040
2.5890,-6.3950
2.5980,-6.3950
2.6070,-6.3860
2.6160,-6.3860
2.6250,-6.3770
2.6340,-6.3680
2.6430,-6.3590
2.6430,-6.3500
2.6520,-6.3410
2.6610,-6.3320
2.6700,-6.3320
2.6790,-6.3230
2.6880,-6.3140
2.6970,-6.3050
2.7060,-6.2960
2.7150,-6.2870
2.7240,-6.2780
2.7330,-6.2690
2.7420,-6.2600
2.7510,-6.2510
2.7600,-6.2510
2.7690,-6.2420
2.7780,-6.2330
2.7870,-6.2240
2.7960,-6.2150
2.8050,-6.2060
2.8140,-6.1970
2.8230,-6.1880
2.8320,-6.1790
2.8410,-6.1700
2.8500,-6.1610
2.8590,-6.1520
2.8590,-6.1430
2.8680,-6.1340
2.8770,-6.1250
2.8860,-6.1160
2.8950,-6.1070
2.9040,-6.0980
2.9130,-6.0890
2.9130,-6.0800
2.9220,-6.0710
2.9220,-6.0620
2.9310,-6.0530
2.9310,-6.0440
2.9400,-6.0350
2.9490,-6.0260
2.9490,-6.0170
2.9580,-6.0080
2.9670,-5.9990
2.9760,-5.9900
2.9760,-5.9810
2.9850,-5.9720
2.9850,-5.9630
2.9940,-5.9540
2.9940,-5.9450
3.0030,-5.9360
3.0120,-5.9270
3.0120,-5.9180
3.0210,-5.9090
3.0300,-5.9000
3.0300,-5.8910
3.0390,-5.8820
3.0480,-5.8730
3.0480,-5.8640
3.0570,-5.8550
3.0570,-5.8460
3.0660,-5.8370
3.0750,-5.8280
3.0750,-5.8190
3.0840,-5.8100
3.0840,-5.8010
3.0930,-5.7920
3.0930,-5.7830
3.1020,-5.7740
3.1020,-5.7650
3.1110,-5.7560
3.1110,-5.7470
3.1200,-5.7380
3.1200,-5.7290
3.1290,-5.7200
3.1290,-5.7110
