x,y
3.299,-2.263
3.299,-2.254
3.308,-2.245
3.308,-2.236
3.317,-2.227
3.317,-2.218
3.326,-2.209
3.326,-2.2
3.326,-2.191
3.335,-2.182
3.335,-2.173
3.335,-2.164
3.335,-2.155
3.344,-2.146
3.344,-2.137
3.353,-2.128
3.353,-2.119
3.353,-2.11
3.353,-2.101
3.362,-2.092
3.362,-2.083
3.371,-2.074
3.371,-2.065
3.371,-2.056
3.371,-2.047
3.38,-2.038
3.38,-2.029
3.389,-2.02
3.389,-2.011
3.398,-2.002
3.398,-1.993
3.398,-1.984
3.398,-1.975
3.398,-1.966
3.407,-1.957
3.407,-1.948
3.407,-1.939
3.407,-1.93
3.407,-1.921
3.407,-1.912
3.407,-1.903
3.407,-1.894
3.407,-1.885
3.407,-1.876
3.407,-1.867
3.407,-1.858
3.407,-1.849
3.407,-1.84
3.407,-1.831
3.407,-1.822
3.407,-1.813
3.407,-1.804
3.407,-1.795
3.398,-1.786
3.398,-1.777
3.407,-1.768
3.407,-1.759
3.407,-1.75
3.407,-1.741
3.407,-1.732
3.407,-1.723
3.407,-1.714
3.407,-1.705
3.407,-1.696
3.407,-1.687
3.407,-1.678
3.407,-1.669
3.416,-1.66
3.416,-1.651
3.416,-1.642
3.416,-1.633
3.416,-1.624
3.416,-1.615
3.425,-1.606
3.425,-1.597
3.425,-1.588
3.425,-1.579
3.425,-1.57
3.425,-1.561
3.425,-1.552
3.425,-1.543
3.425,-1.534
3.425,-1.525
3.425,-1.516
3.425,-1.507
3.425,-1.498
3.425,-1.489
3.434,-1.48
3.434,-1.471
3.434,-1.462
3.434,-1.453
3.434,-1.444
3.434,-1.435
3.434,-1.426
3.434,-1.417
3.434,-1.408
3.434,-1.399
3.434,-1.39
3.434,-1.381
3.434,-1.372
3.434,-1.363
3.434,-1.354
3.434,-1.345
3.434,-1.336
3.434,-1.327
3.434,-1.318
3.434,-1.309
3.434,-1.3
3.434,-1.291
3.443,-1.282
